Target_Age,Target_Gender,Region,Spend,Revenue,Conversions,CPA,ROAS
55+,Other,South America,92280.3,1758571,10491,8.796139548184158,19.05684095088551
25-34,Other,Asia,81282.3,1515770,11922,6.8178409662808255,18.64821738558087
18-24,Female,Asia,94532.1,1632823,12629,7.485319502731808,17.272683035709562
45-54,Other,North America,62593.5,1034192,7273,8.606283514368211,16.522354557581856
35-44,Other,Europe,61464.2,1005158,6726,9.138299137674695,16.353552149055872
45-54,Male,South America,130788.4,1959286,17207,7.600883361422676,14.980579317431822
55+,Female,North America,67634.0,974713,6348,10.654379332073093,14.41158293166159
35-44,Male,North America,61516.3,883062,8139,7.558213539746898,14.354927068110403
55+,Other,North America,66315.1,915594,6295,10.534567116759334,13.806719736530592
25-34,Other,South America,78045.9,1067948,7856,9.934559572301424,13.683588759947673
