Month,Spend,Revenue,Conversions,Clicks,Impressions,CTR,Conversion_Rate,CPA,ROAS
2024-02,319010.5,3321877,28443,58018,311261,0.18639662534014861,0.4902444069082009,11.215782442077137,10.413064773730019
2024-03,524689.3,4927968,40951,81129,499315,0.16248059841983517,0.5047640177988142,12.812612634612098,9.392164086441252
2024-04,563206.2,6413032,48081,100933,475986,0.2120503544221889,0.47636550979362546,11.713695638609845,11.386650217984107
2024-05,535933.1,5769677,49207,91331,459894,0.1985914145433513,0.5387765380867394,10.891399597618225,10.765666460981791
2024-06,531608.6,4904379,41201,85590,482623,0.17734339225440976,0.4813763290103984,12.902808184267371,9.225544883961621
2024-07,517916.0,5116647,44327,86963,439094,0.19805098680464775,0.5097225256718374,11.683984930177996,9.87929895967686
2024-08,523225.7,5009860,41453,83500,424083,0.19689541905711855,0.4964431137724551,12.622143150073578,9.57495016013166
2024-09,449067.5,4747832,40253,87993,406671,0.21637392388441762,0.45745684315797847,11.156125009316076,10.572646651115923
2024-10,528309.7,4988722,46476,88427,551379,0.16037426162403717,0.5255860766507967,11.367365952319476,9.44279841918481
2024-11,387299.2,4478878,37469,65303,376950,0.17324048282265553,0.57377149594965,10.336523526114922,11.564387429666779
2024-12,421192.4,4148418,36446,71568,389087,0.1839382965763441,0.5092499441090991,11.556615266421556,9.849223300325457
2025-01,523495.2,4962436,41771,91586,555678,0.16481847400832855,0.4560849911558535,12.53250341145771,9.479429801839634
2025-02,131214.4,1096984,9594,20888,125156,0.16689571414874238,0.45930677901187283,13.676714613299978,8.360240949164117
