Campaign_ID,Budget,Spend,Revenue,Clicks,Conversions,Impressions,CTR,Conversion_Rate,CPA,ROAS,Budget_Utilization
C6303,15030,14923.8,301296,2308,2244,14524,0.15890939135224455,0.9722703639514731,6.650534759358289,20.188959916375186,0.9929341317365269
C3181,10660,10751.6,271750,2439,1966,4803,0.5078076202373517,0.8060680606806068,5.468769074262462,25.275307861155547,1.00859287054409
C9010,9060,9051.6,296836,2266,1928,11865,0.1909818794774547,0.8508384819064431,4.694813278008299,32.79376021918777,0.9990728476821192
C4095,4970,4771.2,140156,1975,1894,6356,0.3107300188797986,0.958987341772152,2.5191129883843715,29.375419181757213,0.96
C5539,7880,8015.200000000001,245721,2864,1777,6715,0.4265078183172003,0.6204608938547486,4.510523353967361,30.65687693382573,1.0171573604060915
C5033,13270,12966.0,256233,3050,1771,6129,0.4976341980747267,0.5806557377049181,7.32128740824393,19.761915779731606,0.9770911831198191
C1725,6950,6880.5,198315,1929,1755,7725,0.24970873786407766,0.9097978227060654,3.9205128205128204,28.822759973839112,0.99
C3443,8680,9114.0,129648,1857,1752,5115,0.363049853372434,0.9434571890145396,5.2020547945205475,14.225148123765635,1.05
C3371,5520,5740.8,127798,1922,1727,7053,0.2725081525591947,0.8985431841831426,3.324145917776491,22.26135730211817,1.04
C3107,4760,4569.6,121055,1968,1705,8159,0.24120603015075376,0.8663617886178862,2.680117302052786,26.491377801120446,0.9600000000000001
