Campaign_ID,Age_ID,Content_ID,Gender_ID,Platform_ID,Region_ID,Date_ID,Budget,Clicks,CTR,CPC,Conversions,CPA,Conversion_Rate,Duration,Revenue,Spend,ROAS,Impressions
C3578,3,1,2,3,3,315,6390,401,0.0461,15.94,174,36.72,0.4339,20,27840,6453.9,4.31,8698
C6702,5,3,2,4,1,318,9870,1286,0.286,7.67,821,12.02,0.6384,28,128076,10067.4,12.72,4496
C9725,3,4,3,3,4,157,7700,1684,0.2122,4.57,1060,7.26,0.6295,15,193980,7623.0,25.45,7935
C9472,2,3,2,2,4,68,8420,444,0.0961,18.96,308,27.34,0.6937,25,24024,8504.2,2.82,4620
C7601,2,3,3,2,3,168,8470,1912,0.3652,4.43,1428,5.93,0.7469,9,277032,8046.5,34.43,5235
C2793,4,3,3,5,5,80,5450,663,0.0932,8.22,605,9.01,0.9125,20,21780,5177.5,4.21,7113
C8817,2,3,2,3,3,170,4420,1044,0.2902,4.23,452,9.78,0.433,13,51528,4508.4,11.43,3597
C1097,1,4,3,5,4,95,7720,1001,0.1036,7.71,916,8.43,0.9151,19,71448,7334.0,9.74,9662
C9333,2,4,2,4,1,123,2070,379,0.0536,5.46,192,10.78,0.5066,29,15744,2111.4,7.46,7070
C1232,3,2,3,5,1,247,2710,83,0.0096,32.65,54,50.19,0.6506,23,7236,2628.7,2.75,8645
C2507,5,1,2,1,5,201,3500,1248,0.2322,2.8,556,6.29,0.4455,10,97856,3500.0,27.96,5374
C7297,2,1,1,2,5,29,2250,208,0.0254,10.82,13,173.08,0.0625,19,598,2137.5,0.28,8188
C4133,5,1,1,5,3,142,7460,1326,0.1529,5.63,154,48.44,0.1161,25,22792,7609.2,3.0,8672
C5129,5,3,2,1,5,259,9490,1391,0.1627,6.82,1288,7.37,0.926,9,136528,9774.7,13.97,8549
C2514,5,4,2,1,4,117,2810,1491,0.1635,1.88,1068,2.63,0.7163,30,206124,2950.5,69.86,9119
C8001,1,4,3,5,2,153,3300,1765,0.2958,1.87,454,7.27,0.2572,28,86260,3168.0,27.23,5966
C1589,5,3,2,1,2,159,9370,1696,0.2854,5.52,790,11.86,0.4658,21,120080,9088.9,13.21,5942
C6840,5,4,2,2,5,201,3290,376,0.1717,8.75,115,28.61,0.3059,9,17020,3388.7,5.02,2189
C9831,4,1,1,3,4,40,9800,544,0.0781,18.01,62,158.06,0.114,23,8618,9800.0,0.88,6965
C2679,1,4,3,3,2,67,8760,419,0.0892,20.91,251,34.9,0.599,11,42419,8409.6,5.04,4697
C9010,4,4,2,3,5,111,4120,1076,0.1946,3.83,1027,4.01,0.9545,11,186914,3914.0,47.76,5529
C5916,3,2,1,2,1,16,6950,1862,0.2108,3.73,1460,4.76,0.7841,18,58400,6880.5,8.49,8833
C8963,4,3,3,5,1,26,4550,345,0.0728,13.19,139,32.73,0.4029,13,19460,4641.0,4.19,4739
C3000,2,1,3,1,4,213,9940,1941,0.5882,5.12,832,11.95,0.4286,16,134784,10039.4,13.43,3299
C5698,1,3,2,2,4,201,7880,438,0.0584,17.99,49,160.82,0.1119,28,4851,7643.6,0.63,7500
C6694,2,2,1,3,5,332,4360,502,0.0735,8.69,453,9.62,0.9024,20,26274,4447.2,5.91,6829
C3220,4,2,1,1,5,238,8820,1037,0.1358,8.51,21,420.0,0.0203,26,777,8908.2,0.09,7636
C7995,1,2,2,5,5,61,4400,311,0.2031,14.15,260,16.92,0.836,11,28340,4620.0,6.13,1531
C7506,1,4,1,2,5,3,5880,1125,0.1174,5.23,977,6.02,0.8684,25,130918,6056.4,21.62,9582
C5308,1,4,3,1,1,224,7050,723,0.2075,9.75,468,15.06,0.6473,8,89388,7332.0,12.19,3484
C2608,5,2,2,4,5,39,2750,1455,0.2338,1.89,1395,1.97,0.9588,12,223200,2777.5,80.36,6223
